 ticker_symbol | expiration_date | strike_price | side |  delta  | gamma  |  theta  |   vega   |   iv   |  bid   |  ask   | volume |   oi   | probability_of_profit | probability_of_touch | implied_move |  skew  | skew_delta | percentile_rank_iv | percentile_rank_delta | elasticity | notional_value_oi |       mid_price        | price_distance_to_strike |   computed_elasticity    |    delta_vega_ratio     | delta_status | gamma_status |           theta_status            | vega_status | iv_status | pop_status | pot_status |     pop_delta_consistency      |       delta_price_consistency       | bid_ask_consistency | skew_status |     skew_delta_status     |     elasticity_status      |             delta_vega_status              | iv_percentile_status | delta_percentile_status |                   status                   
---------------+-----------------+--------------+------+---------+--------+---------+----------+--------+--------+--------+--------+--------+-----------------------+----------------------+--------------+--------+------------+--------------------+-----------------------+------------+-------------------+------------------------+--------------------------+--------------------------+-------------------------+--------------+--------------+-----------------------------------+-------------+-----------+------------+------------+--------------------------------+-------------------------------------+---------------------+-------------+---------------------------+----------------------------+--------------------------------------------+----------------------+-------------------------+--------------------------------------------
 AAPL          | 2024-12-27      |       242.50 | Call |  0.8530 | 0.0190 | -0.2100 |   8.1070 | 0.2780 |  11.60 |  14.30 |    561 |   1512 |                0.7337 |               1.0000 |       0.0291 | 1.1120 |     0.9270 |             0.2600 |                0.6100 |     0.0223 |     36666000.0000 |    12.9500000000000000 |                   -12.65 |      16.8064054054054054 |  0.10521771308745528556 |              |              |                                   |             |           |            |            |                                | Error: ITM Call with Negative Delta |                     |             |                           |                            |                                            |                      |                         | Error: ITM Call with Negative Delta
 AAPL          | 2024-12-27      |       260.00 | Call |  0.1550 | 0.0460 | -0.0910 |   8.4050 | 0.1410 |   0.43 |   0.45 |  19722 |   9503 |                0.5826 |               0.3100 |       0.0148 | 1.0846 |     1.1550 |             0.0100 |                0.5000 |     0.2968 |    247078000.0000 | 0.44000000000000000000 |                     4.85 |  89.88238636363636363636 |  0.01844140392623438430 |              |              |                                   |             |           |            |            |                                |                                     |                     |             | Error: Invalid Delta Skew |                            |                                            |                      |                         | Error: Invalid Delta Skew
 AAPL          | 2024-12-27      |       257.50 | Call |  0.3030 | 0.0640 | -0.1410 |  12.3120 | 0.1430 |   1.02 |   1.09 |  25420 |  23919 |                0.6111 |               0.6060 |       0.0150 | 1.0000 |     1.0470 |             0.0300 |                0.5200 |     0.2112 |    615914250.0000 | 1.05500000000000000000 |                     2.35 |  73.28004739336492890995 |  0.02461013645224171540 |              |              |                                   |             |           |            |            |                                |                                     |                     |             | Error: Invalid Delta Skew |                            |                                            |                      |                         | Error: Invalid Delta Skew
 AAPL          | 2024-12-27      |       255.00 | Call |  0.4770 | 0.0680 | -0.1730 |  14.0360 | 0.1530 |   2.15 |   2.22 |  47828 |  18695 |                0.6402 |               0.9540 |       0.0160 | 1.0200 |     1.0040 |             0.0600 |                0.5400 |     0.1426 |    476722500.0000 |     2.1850000000000000 |                    -0.15 |      55.7009382151029748 |  0.03398404103733257338 |              |              |                                   |             |           |            |            |                                | Error: ITM Call with Negative Delta |                     |             | Error: Invalid Delta Skew |                            |                                            |                      |                         | Error: ITM Call with Negative Delta
 AAPL          | 2024-12-27      |       250.00 | Call |  0.7540 | 0.0460 | -0.1640 |  11.0920 | 0.1610 |   5.25 |   5.95 |  29463 |  19072 |                0.6956 |               1.0000 |       0.0169 | 0.8994 |     0.9740 |             0.0800 |                0.5800 |     0.0610 |    476800000.0000 |     5.6000000000000000 |                    -5.15 |      34.3541250000000000 |  0.06797692030292102416 |              |              |                                   |             |           |            |            |                                | Error: ITM Call with Negative Delta |                     |             |                           |                            |                                            |                      |                         | Error: ITM Call with Negative Delta
 AAPL          | 2024-12-27      |       252.50 | Call |  0.6480 | 0.0650 | -0.1600 |  13.0840 | 0.1660 |   3.70 |   3.90 |  22098 |   8707 |                0.6702 |               1.0000 |       0.0174 | 1.0247 |     0.9970 |             0.1100 |                0.5600 |     0.1003 |    219851750.0000 |     3.8000000000000000 |                    -2.65 |      43.5097894736842105 |  0.04952613879547538979 |              |              |                                   |             |           |            |            |                                | Error: ITM Call with Negative Delta |                     |             |                           |                            |                                            |                      |                         | Error: ITM Call with Negative Delta
 AAPL          | 2024-12-27      |       247.50 | Call |  0.8070 | 0.0320 | -0.1760 |   9.6460 | 0.2120 |   7.75 |   8.50 |  11527 |   3433 |                0.7143 |               1.0000 |       0.0222 | 1.0707 |     0.9520 |             0.1900 |                0.6000 |     0.0397 |     84966750.0000 |     8.1250000000000000 |                    -7.65 |      25.3422830769230769 |  0.08366162139747045407 |              |              |                                   |             |           |            |            |                                | Error: ITM Call with Negative Delta |                     |             |                           |                            |                                            |                      |                         | Error: ITM Call with Negative Delta
 AAPL          | 2024-12-27      |       245.00 | Call |  0.8020 | 0.0240 | -0.2460 |   9.8090 | 0.2400 |   9.35 |  11.60 |   3209 |   6496 |                0.7113 |               1.0000 |       0.0251 | 1.0909 |     0.9050 |             0.2100 |                0.5900 |     0.0299 |    159152000.0000 |    10.4750000000000000 |                   -10.15 |      19.5351121718377088 |  0.08176164746661229483 |              |              |                                   |             |           |            |            |                                | Error: ITM Call with Negative Delta |                     |             |                           |                            |                                            |                      |                         | Error: ITM Call with Negative Delta
 AAPL          | 2024-12-27      |       295.00 | Call |  0.0000 | 0.0000 |  0.0000 |   0.0020 | 0.3900 |   0.00 |  10.00 |      1 |    100 |                0.4705 |               0.0000 |       0.0408 | 0.6890 |     1.0000 |             0.3900 |                0.0000 |            |      2950000.0000 |     5.0000000000000000 |                    39.85 |   0.00000000000000000000 |      0.0000000000000000 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            |                                            |                      |                         | Valid
